type,Problem,approximation-scheme,baseline,graph-name,thread-count,vertices,edges,treshold,b,m,preprocessing-time,tc-time,total-runtime,size-of-BF,CSR-size,total-size,approximated-count
RRR,JP-OV,BF,JP-OV_BF,econ-mbeacxc.el,16,493,41686,0.01,1,32,0.00393402,0.00331048,0.0072445,0.0112839,0.639839,0.651123,264
RRR,JP-OV,1H,JP-OV_1H,fb-messages.el,16,1900,13838,0.03,7,0,-1,0.000373704,-0.999626,0.0797272,0.225647,0.305374,0
RRR,JP-OV,BF,JP-OV_BF,bio-grid-yeast.el,16,6008,156945,0.3,1,767,0.0150236,0.00514005,0.0201637,0.658913,2.44063,3.09954,16044
RRR,JP-OV,1H,JP-OV_1H,ia-wikiquote-user-edits.el,16,94757,238421,0.0003,5,0,-1,0.001427,-0.998573,3.25322,4.36095,7.61418,0
RRR,JP-OV,1H,JP-OV_1H,insecta-ant-colony6-day02.el,16,165,10272,0.5,78,0,-1,0.00472251,-0.995277,0.0516129,0.157997,0.20961,0
RRR,JP-OV,BF,JP-OV_BF,bn-mouse_brain_1.el,16,213,16089,0.003,1,32,0.00170488,0.00216907,0.00387395,0.00487518,0.247124,0.251999,411
RRR,JP-OV,1H,JP-OV_1H,gupta3.el,16,16784,4653322,0.5,7335,0,2.01756,5.86524,7.8828,469.886,71.1321,541.018,4455016
RRR,JP-OV,1H,JP-OV_1H,rim.el,16,22561,677576,0.3,33,0,-1,0.0110481,-0.988952,3.18435,10.5111,13.6955,0
RRR,JP-OV,BF,JP-OV_BF,trdheim.el,16,22099,956613,3e-05,1,32,0.0846442,0.0150713,0.0997154,0.505806,14.7654,15.2712,420540
RRR,JP-OV,1H,JP-OV_1H,C2000-5.el,16,2001,999836,0.03,32,0,-1,0.0381666,-0.961833,0.274796,15.2716,15.5463,0
RRR,JP-OV,1H,JP-OV_1H,bio-CE-PG.el,16,1871,47754,0.0003,1,0,-1,0.000163294,-0.999837,0.0285492,0.742943,0.771492,0
RRR,JP-OV,1H,JP-OV_1H,vanbody.el,16,47073,1144913,2,462,0,-1,0.034707,-0.965293,83.6793,17.8291,101.508,0
RRR,JP-OV,BF,JP-OV_BF,ted_AB.el,16,10606,347610,0.5,1,97,0.0312386,0.00674021,0.0379788,0.323669,5.38503,5.70869,147056
RRR,JP-OV,BF,JP-OV_BF,torso3.el,16,259157,734028,1,1,32,0.168151,0.0132904,0.181441,5.93163,13.1776,19.1092,146659
RRR,JP-OV,BF,JP-OV_BF,bn-mouse_brain_1.el,16,213,16089,0.0003,1,32,0.00171486,0.00127829,0.00299315,0.00487518,0.247124,0.251999,60
RRR,JP-OV,BF,JP-OV_BF,ia-enron-email-dynamic.el,16,87274,297456,0.0001,1,32,0.0610196,0.00530661,0.0663262,1.99754,5.20467,7.20221,44027
RRR,JP-OV,BF,JP-OV_BF,ia-retweet-pol.el,16,18470,48053,0.001,1,32,0.0117162,0.00186459,0.0135808,0.422745,0.874146,1.29689,7801
RRR,JP-OV,BF,JP-OV_BF,bio-DR-CX.el,16,3289,84940,0.5,1,248,0.00855922,0.00301109,0.0115703,0.159968,1.32117,1.48114,22588
RRR,JP-OV,1H,JP-OV_1H,insecta-ant-colony6-day02.el,16,165,10272,0.3,47,0,-1,0.00185795,-0.998142,0.0321007,0.157997,0.190098,0
RRR,JP-OV,BF,JP-OV_BF,hamming10-4.el,16,1025,434176,3e-05,1,32,0.0336521,0.0135256,0.0471778,0.0234604,6.63282,6.65628,0
RRR,JP-OV,BF,JP-OV_BF,trdheim.el,16,22099,956613,0.0001,1,32,0.0840418,0.0131763,0.097218,0.505806,14.7654,15.2712,428490
RRR,JP-OV,1H,JP-OV_1H,fb-messages.el,16,1900,13838,2,510,0,-1,0.00130446,-0.998696,3.72543,0.225647,3.95108,0
RRR,JP-OV,BF,JP-OV_BF,econ-psmigr1.el,16,3141,410781,3e-05,1,32,0.0330188,0.00669069,0.0397095,0.0718918,6.29198,6.36388,2342
RRR,JP-OV,1H,JP-OV_1H,bio-grid-yeast.el,16,6008,156945,0.001,2,0,-1,0.000709021,-0.999291,0.137512,2.44063,2.57814,0
RRR,JP-OV,1H,JP-OV_1H,jester2.el,16,50693,1727574,0.5,25345,0,-1,0.368013,-0.631987,4901.95,26.7474,4928.7,0
